elapsed_seconds,alpha,theta,beta,stillness,valid
192,0.14514022396153609,0.16993921863016578,0.2014792716464335,0.9850060633070913,1
193,0.14396984220927897,0.17602188958363713,0.20064173464251595,0.9847592967654017,1
194,0.14303353680747327,0.18088802634641418,0.1999717050393819,0.9841384447718817,1
195,0.14228449248602873,0.18478093575663584,0.19943568135687464,0.9842189428789858,1
196,0.14168525702887308,0.18789526328481315,0.19900686241086885,0.9838924135678041,1
197,0.14120586866314855,0.190386725307355,0.1986638072540642,0.9838890084094317,1
198,0.14082235797056894,0.19237989492538848,0.19838936312862052,0.9833258468091849,1
199,0.14051554941650524,0.19397443061981529,0.19816980782826554,0.983344432632405,1
200,0.14027010257325428,0.1952500591753567,0.19799416358798158,0.9828812632419861,1
201,0.14007374509865353,0.19627056201978985,0.1978536481957544,0.9825730035748375,1
202,0.1399166591189729,0.19708696429533637,0.19774123588197265,0.9824242765030529,1
203,0.13979099033522843,0.1977400861157736,0.19765130603094727,0.9815543040800865,1
204,0.13969045530823285,0.19826258357212337,0.19757936215012695,0.9820468294991764,1
205,0.13961002728663638,0.1986805815372032,0.1975218070454707,0.9821759878809938,1
206,0.1395456848693592,0.19901497990926703,0.1974757629617457,0.9818270243681945,1
207,0.15194312168393553,0.18226373140051677,0.20270667972421838,0.9820487438665119,1
208,0.16013638287236245,0.1679151603846126,0.2103850210433104,0.9819843386842257,1
209,0.16066911098343586,0.1548363567819635,0.2195598442494467,0.9821351467815208,1
210,0.15899419106153936,0.1413122503670873,0.22902330174617705,0.9819895202684452,1
211,0.156774899892948,0.12914630048446546,0.237050772505562,0.9824874810843593,1
212,0.15499946695807487,0.11941354057836799,0.24347274911307,0.9821161931663198,1
213,0.1535791206101764,0.11162733265349002,0.24861033039907637,0.9823976862418696,1
214,0.1524428435318576,0.10539836631358765,0.2527203954278815,0.982134260294632,1
215,0.15153382186920258,0.10041519324166574,0.25600844745092555,0.9824316175112973,1
216,0.15221584150388298,0.10044893073100677,0.2559503154310882,0.9825261008146192,1
217,0.15953604688693884,0.10468620404850666,0.25186496861083435,0.9823924800983299,1
218,0.1576151895152209,0.1021872612873743,0.25534479659599807,0.982709809983423,1
219,0.15325339106288816,0.09886451007271922,0.25964969243116526,0.9826066679168773,1
220,0.14976395230102194,0.09620630910099516,0.263093609099299,0.9824603827411703,1
221,0.1518457570500179,0.09506009306092705,0.2592979619289782,0.9821392806125199,1
222,0.15631269189434063,0.09687564997325383,0.25257048119184555,0.982142250119764,1
223,0.15784796828417172,0.10393149797982454,0.24751267647090253,0.9821942466961848,1
224,0.1572488800280707,0.10912909686832555,0.24402077400495645,0.9822014612278711,1
225,0.1573075469861792,0.11398554931562328,0.24115137236422374,0.9821638898833533,1
226,0.15368070795730268,0.11652647007641356,0.23475740204116952,0.982211719860431,1
227,0.14944921988882706,0.11857419487134682,0.2290691374071614,0.9822498394308089,1
228,0.14742587297099521,0.12423941062031539,0.22490919994929967,0.9821228468752535,1
229,0.14567281157982018,0.12270446877417462,0.2234890764908829,0.9822309485038565,1
230,0.1425542994400746,0.11844792935490273,0.22335445361582318,0.9822776157219422,1
231,0.1525501063512796,0.11365987826652944,0.22626936619468332,0.9823456307605721,1
232,0.1690415597776805,0.11443905790032151,0.2215635062337698,0.9825429373067385,1
233,0.1748074494846453,0.1271943322990367,0.22172539335915342,0.9829461048389636,1
234,0.1765431276682973,0.13383272023837653,0.22572784963297152,0.98283727447096,1
235,0.1772363476407735,0.137074441961769,0.2295633730480473,0.9826669979543581,1
236,0.17779092361875448,0.13966781934048295,0.23263179178010795,0.9827141916669279,1
237,0.17823458440113926,0.14174252124345413,0.23508652676575648,0.9826065605287388,1
238,0.1785895130270471,0.14340228276583106,0.2370503147542753,0.9827948507959914,1
239,0.17887345592777334,0.1447300919837326,0.23862134514509034,0.9829029960764125,1
240,0.17910061024835436,0.14579233935805386,0.23987816945774237,0.9830556282573185,1
241,0.17870413932172946,0.14322326695142587,0.24182640704901007,0.9830396404774835,1
242,0.17482700064544096,0.14285959569824125,0.23838789967357493,0.98297927984255,1
243,0.1683250008181826,0.1503569693490099,0.23535181300125382,0.9833378356661269,1
